No;X;Y;Size [µm];Locating ch. value;Ch. 1 value;
164;1185;153;105,1;16,086;17,276;
165;231;154;101,4;15,638;13,032;
166;349;152;96,1;15,946;13,457;
167;195;157;105,3;15,854;13,292;
168;312;156;104,7;15,676;12,930;
169;276;157;102,4;15,562;12,849;
170;589;158;100,7;15,611;12,778;
171;159;159;103,5;15,946;13,168;
172;953;161;107,2;15,465;12,741;
173;551;163;109,4;15,778;17,368;
174;990;162;103,8;15,627;12,697;
175;124;162;102,8;16,741;13,670;
176;1027;165;105,9;15,676;12,897;
177;1064;166;101,8;15,951;13,022;
178;917;168;107,7;15,622;17,124;
179;514;170;107,3;15,741;12,908;
180;835;170;102,0;15,832;17,503;
181;881;170;107,0;15,530;12,724;
182;478;174;105,0;15,730;12,795;
183;1354;175;101,6;16,238;13,405;
184;798;176;105,4;15,611;12,811;
185;1318;176;105,9;16,465;13,395;
186;79;176;106,3;15,968;13,454;
187;442;177;103,9;15,692;12,854;
188;1281;179;107,2;15,805;20,746;
189;42;180;107,1;15,973;18,195;
190;406;179;98,3;15,703;12,843;
191;760;179;102,3;15,627;12,735;
192;1244;180;106,6;15,930;13,243;
193;1207;181;109,5;15,962;13,027;
194;371;180;90,9;15,977;13,473;
195;253;184;106,6;15,924;13,124;
196;684;184;101,9;15,524;12,654;
197;720;182;100,1;15,989;12,800;
198;1167;184;106,2;15,886;13,086;
199;335;185;107,7;16,005;12,968;
200;1128;184;103,3;15,962;17,584;
201;647;186;105,2;15,411;12,724;
202;217;187;103,3;15,800;12,995;
203;1092;188;99,3;15,854;17,730;
204;182;190;103,7;16,141;13,341;
205;298;189;101,1;15,941;17,389;
206;611;189;97,8;15,616;12,859;
207;574;192;103,8;15,605;12,670;
208;146;193;105,9;16,330;13,373;
209;109;194;103,4;16,146;13,373;
210;1006;194;107,5;15,665;12,962;
211;970;194;105,3;15,638;12,730;
212;538;197;103,2;15,859;13,011;
213;858;198;105,1;15,568;12,692;
214;1048;199;103,7;15,730;13,022;
215;934;200;101,9;15,676;12,789;
216;500;203;107,0;15,611;12,805;
217;898;202;108,9;15,541;12,714;
218;463;207;106,9;16,346;13,259;
219;817;206;101,3;15,838;12,957;
220;1337;207;104,8;16,157;13,281;
221;1301;208;105,5;16,130;18,178;
222;63;209;105,1;15,919;13,200;
223;427;210;102,9;15,708;17,497;
224;781;209;107,2;15,892;12,984;
225;392;212;105,5;16,016;13,076;
226;1261;211;106,3;16,022;13,184;
227;741;213;107,6;15,643;12,978;
228;1225;212;104,8;16,184;13,195;
229;274;213;100,3;16,308;13,465;
230;356;214;105,1;15,643;12,957;
231;1189;214;106,8;15,886;13,124;
232;703;215;107,5;15,811;12,849;
233;238;216;101,6;15,881;13,211;
234;665;217;108,0;15,724;12,876;
235;1114;217;105,9;16,141;13,205;
236;1152;217;105,9;16,130;13,222;
237;202;219;105,9;15,903;13,270;
238;320;218;105,1;15,870;13,032;
239;629;220;105,4;15,686;12,838;
240;1076;221;106,4;15,849;13,011;
241;166;222;103,0;15,984;17,908;
242;131;225;105,3;16,054;17,984;
243;593;225;103,1;15,697;12,778;
244;990;226;105,9;15,935;13,032;
245;94;227;104,6;15,703;13,151;
246;1026;227;106,0;15,708;12,935;
247;557;230;102,6;15,714;12,897;
248;843;231;104,9;15,632;12,714;
249;954;231;106,3;15,822;12,903;
250;521;232;107,6;15,735;12,757;
251;879;233;105,1;15,492;12,670;
252;918;234;106,7;15,886;13,032;
253;484;235;105,9;15,616;12,730;
254;448;240;107,0;15,346;12,795;
255;1318;240;109,4;16,292;18,443;
256;798;241;102,7;15,751;12,957;
257;1280;243;105,7;16,243;13,459;
258;294;242;103,8;15,708;13,081;
259;413;243;104,2;15,757;12,914;
260;761;243;103,8;15,659;13,016;
261;46;243;101,0;16,205;13,762;
262;377;244;104,2;15,670;13,043;
263;1244;243;103,6;16,195;13,341;
264;1208;245;107,1;16,049;13,330;
265;258;245;104,6;16,200;13,395;
266;723;246;106,8;15,784;17,400;
267;341;248;107,8;15,730;17,416;
268;686;248;106,8;15,854;12,957;
269;1134;248;103,4;15,946;17,946;
270;1170;248;106,2;15,957;13,103;
271;223;249;104,2;15,984;13,368;
272;1055;249;106,0;16,157;18,254;
273;1098;249;107,1;16,297;18,141;
274;650;250;103,8;15,622;12,735;
275;187;252;104,9;15,881;17,951;
276;151;254;104,6;16,168;13,541;
277;614;255;105,3;15,886;13,124;
278;115;257;106,2;15,897;18,184;
279;78;258;106,4;16,043;13,422;
280;578;260;106,0;15,697;12,946;
281;977;260;104,9;15,789;12,968;
282;1013;260;106,8;15,773;13,043;
283;826;262;104,4;15,627;12,849;
284;542;263;105,3;15,849;17,519;
285;899;264;107,0;15,654;12,941;
286;506;264;104,8;15,524;12,746;
287;940;265;107,7;15,816;17,573;
288;862;265;104,7;15,686;12,800;
289;470;268;104,4;15,632;17,443;
290;1337;270;104,9;16,600;13,611;
291;434;273;104,7;15,514;12,692;
292;1300;273;107,2;16,265;13,524;
293;315;272;104,8;15,751;13,238;
294;781;273;106,0;15,703;12,892;
295;279;275;105,0;16,427;18,341;
296;744;275;106,0;15,627;13,032;
297;1262;274;105,3;16,011;13,292;
298;398;275;104,0;15,989;13,103;
299;1226;276;107,3;16,395;13,492;
300;243;278;104,2;15,903;13,259;
301;362;277;104,1;15,832;17,481;
302;29;277;103,6;17,043;14,038;
303;706;278;102,0;15,822;12,881;
304;1077;278;105,7;15,870;13,032;
305;1189;279;104,2;15,968;13,303;
306;670;280;105,4;15,795;12,881;
307;1117;280;106,8;16,178;13,351;
308;207;281;104,0;15,968;13,378;
309;1153;281;107,0;15,914;13,259;
310;171;283;103,6;16,005;13,276;
311;1041;284;107,0;15,773;13,032;
312;634;285;104,3;15,946;13,043;
313;135;287;108,6;15,941;13,443;
314;98;288;104,8;16,005;13,762;
315;599;290;105,8;15,741;13,092;
316;61;290;102,6;16,351;13,530;
317;962;293;104,8;15,432;12,924;
318;563;293;104,3;15,886;13,049;
319;810;294;107,2;15,859;13,016;
320;999;293;103,8;16,270;18,292;
321;919;294;102,4;15,930;13,043;
322;882;296;105,7;15,865;18,016;
323;491;298;101,7;16,005;15,708;
324;527;296;104,8;15,919;13,119;
325;846;298;105,9;15,784;13,076;
326;337;301;97,7;15,805;13,427;
327;454;301;96,9;16,961;18,550;
328;1320;303;106,0;16,443;18,411;
329;1283;304;105,3;16,259;13,578;
330;300;305;106,2;15,849;13,200;
331;419;305;104,2;16,081;13,178;
332;764;305;100,4;15,859;13,043;
333;1245;306;109,6;16,530;13,557;
334;727;306;105,7;16,146;17,816;
335;264;307;105,2;15,919;13,281;
336;383;308;99,0;16,059;13,222;
337;1096;311;121,7;17,066;13,891;
338;689;310;106,4;15,827;13,076;
339;1208;309;106,9;16,616;13,730;
340;228;311;105,2;15,795;13,411;
341;13;312;84,9;16,008;14,116;
342;1172;311;105,7;16,286;13,551;
343;193;314;104,8;16,000;13,568;
344;1135;313;106,4;16,043;13,378;
345;157;316;104,9;16,022;13,541;
346;654;316;103,4;15,849;12,968;
347;118;318;105,6;16,232;13,784;
348;1058;318;102,7;15,903;13,324;
349;82;320;103,5;16,335;13,838;
350;618;320;105,4;16,119;13,162;
351;1022;320;103,3;15,924;17,941;
352;46;321;100,4;16,427;13,951;
353;942;323;108,6;15,951;13,211;
354;583;324;100,6;16,416;18,027;
355;793;326;106,0;15,849;12,973;
356;902;326;104,8;15,978;13,135;
357;547;326;96,3;16,636;18,674;
358;980;325;96,5;16,442;18,310;
359;512;329;104,6;16,211;17,800;
360;865;328;107,1;15,757;13,011;
361;476;330;101,8;15,984;17,941;
362;829;330;106,0;15,946;13,157;
363;322;335;115,0;16,341;13,642;
364;440;334;103,7;15,924;13,216;
365;1370;334;86,8;16,884;14,357;
366;360;334;98,7;15,924;13,357;
367;1335;335;105,4;16,659;13,670;
368;1299;336;104,3;16,497;13,584;
369;285;339;103,4;15,643;13,362;
370;404;338;104,7;15,708;13,097;
371;747;337;99,9;16,481;13,416;
372;1263;337;105,3;16,346;13,730;
373;711;339;104,1;16,022;17,876;
374;249;340;103,0;16,049;13,454;
375;1227;340;106,3;16,297;13,611;
376;1190;342;104,2;16,557;13,665;
377;213;344;101,6;15,995;13,503;
378;1154;344;103,8;16,124;13,454;
379;1118;345;105,7;16,238;13,486;
380;178;347;104,8;16,157;13,600;
381;676;346;106,0;15,881;13,119;
382;1080;347;106,0;16,108;18,216;
383;140;350;118,7;16,886;14,175;
384;102;350;103,3;16,178;13,876;
385;640;350;102,9;15,849;13,097;
386;1043;351;106,2;16,032;13,351;
387;29;353;103,5;20,362;23,622;
388;65;351;105,7;18,308;23,611;
389;1005;352;107,6;15,854;17,643;
390;605;354;105,6;16,681;13,600;
391;775;357;107,8;16,070;13,114;
392;956;356;101,3;15,957;13,232;
393;570;358;102,1;16,049;13,297;
394;919;358;107,4;16,303;13,308;
395;534;360;105,5;16,151;13,335;
396;883;360;105,8;15,876;13,103;
397;463;363;106,2;15,795;17,638;
398;498;362;104,6;16,059;13,265;
399;811;362;107,2;16,097;13,308;
400;847;362;105,1;16,151;13,216;
401;380;364;106,1;15,978;13,384;
402;1354;365;106,6;16,292;18,292;
403;344;367;104,8;15,919;13,324;
404;425;367;107,4;16,486;13,595;
405;1318;367;105,3;16,492;13,784;
406;1282;368;105,9;16,422;13,692;
407;308;370;104,2;15,892;13,232;
408;729;370;104,0;16,097;13,330;
409;1246;370;104,2;16,422;13,654;
410;272;372;105,2;16,184;13,595;
411;1210;372;107,0;16,432;13,595;
412;235;374;111,6;16,489;13,799;
413;1173;374;106,3;16,357;13,697;
414;1137;376;106,5;16,108;18,357;
415;198;377;104,3;15,946;13,568;
416;1101;377;106,3;16,762;14,259;
417;693;377;100,2;16,108;17,968;
418;1064;379;107,5;16,119;16,789;
419;162;380;103,2;16,205;13,697;
420;982;380;104,6;15,973;13,265;
421;1025;382;107,2;16,276;13,443;
422;87;382;103,1;16,589;14,200;
423;624;383;96,8;16,434;13,767;
424;122;383;101,4;16,254;13,724;
425;659;382;101,0;18,022;14,405;
426;50;385;107,8;19,914;23,622;
427;15;386;91,9;17,233;15,783;
428;589;388;105,7;16,070;13,314;
429;939;388;106,2;15,930;13,195;
430;758;389;91,9;20,651;17,752;
431;902;390;105,4;15,735;13,211;
432;554;391;103,5;16,686;18,243;
433;401;393;102,4;15,919;13,227;
434;519;393;103,4;15,924;13,324;
435;866;393;105,5;15,957;13,157;
436;830;394;104,1;15,903;13,232;
437;448;395;104,2;16,038;18,022;
438;484;395;104,7;16,335;13,508;
439;794;394;107,5;16,108;13,281;
440;365;397;104,0;15,984;13,373;
441;1337;397;100,4;16,524;13,903;
442;1300;399;96,2;16,636;14,163;
443;330;400;104,1;15,881;13,454;
444;1265;401;104,1;16,805;14,000;
445;294;403;105,1;16,054;18,227;
446;1229;402;102,2;16,546;13,859;
447;258;405;104,9;15,708;14,076;
448;1193;404;102,3;16,935;14,086;
449;717;404;102,2;16,216;17,827;
450;1157;406;105,6;16,389;13,676;
451;222;408;104,8;15,951;18,303;
452;1121;408;104,8;16,503;13,795;
453;1084;409;108,5;16,319;13,611;
454;186;410;105,0;15,935;13,632;
455;1002;410;102,9;15,870;13,303;
456;1047;411;106,6;16,184;13,465;
457;677;412;104,7;16,081;13,395;
458;150;413;103,5;16,254;17,270;
459;640;415;104,2;16,032;17,838;
460;962;415;104,9;16,016;18,243;
461;73;415;100,0;16,314;13,968;
462;36;418;103,2;16,341;18,719;
463;114;417;101,0;16,432;13,957;
464;605;420;105,9;16,200;13,519;
465;923;420;105,0;15,973;13,227;
466;424;421;102,4;15,897;13,362;
467;886;423;107,4;16,000;13,438;
468;569;423;104,4;16,216;13,508;
469;387;426;106,2;16,146;13,681;
470;849;425;105,5;16,178;13,319;
471;533;426;105,4;16,173;13,578;
472;776;426;106,8;16,357;13,551;
473;813;425;106,6;16,254;13,411;
474;497;428;104,2;16,643;13,757;
475;351;429;102,6;16,027;13,541;
476;461;428;98,6;16,341;13,573;
477;1320;429;104,8;16,459;14,022;
478;741;431;97,8;16,114;13,470;
479;1284;431;104,6;16,530;14,049;
480;315;433;106,1;15,935;13,514;
